date,rows,bdm_mae_mw,cndc_mae_mw,bdm_bias_mw,cndc_bias_mw,improvement_mw,improvement_pct,bdm_beats_cndc
2026-04-17,95.0,49.05707319078945,128.65157894736845,-39.678371299342096,-122.60715789473684,79.594505756579,61.86826963790411,True
2026-04-18,94.0,41.61579787234044,130.8282978723405,-40.4031831781915,-130.8282978723405,89.21250000000006,68.1905225787251,True
2026-04-19,95.0,53.83370456414474,89.03421052631579,31.905183490953938,-88.15315789473684,35.20050596217105,39.53593315882422,True
2026-04-20,95.0,30.587269942434222,80.20821052631575,-14.451472913240135,-79.82694736842103,49.620940583881534,61.865163501685714,True
2026-04-21,95.0,54.82923087993423,125.69484210526313,-54.82923087993423,-125.69484210526313,70.8656112253289,56.379092441981435,True
2026-04-22,95.0,20.427793174342114,63.68305263157897,1.3748925781250125,-62.48010526315789,43.25525945723685,67.92271675084174,True
2026-04-23,94.0,31.101915776678837,68.06893617021272,-23.669625114278567,-67.85872340425529,36.967020393533886,54.308209402736075,True
2026-04-24,95.0,55.25853094161183,91.00347368421055,-27.43795353618421,-90.47926315789475,35.74494274259872,39.2786575011813,True
2026-04-25,95.0,80.30833624588816,157.49042105263155,-64.27159518914473,-143.6057894736842,77.18208480674339,49.00747886180963,True
2026-04-26,94.0,64.92514583506482,111.13936170212763,-63.33893417033743,-110.76212765957442,46.214215867062805,41.582221779287124,True
2026-04-27,95.0,17.458425498560878,61.0650526315789,-7.797032046669405,-60.62147368421047,43.60662713301802,71.41011962457148,True
2026-04-28,94.0,22.946188289561167,81.5396808510638,-19.089888630319155,-81.5396808510638,58.59349256150264,71.85886914191694,True
2026-04-29,95.0,15.242172748766444,88.96936842105264,-8.931623098273018,-88.96936842105264,73.72719567228619,82.86806681977106,True
2026-04-30,95.0,18.036183388157887,92.01263157894738,-12.871052323190794,-92.01263157894738,73.97644819078948,80.39814416927882,True
2026-05-01,94.0,58.55872478079289,133.98468085106384,-52.64033610891789,-133.98468085106384,75.42595607027096,56.294462614060905,True
2026-05-02,95.0,45.647492418791145,56.610421052631615,-25.906119012129967,-43.35547368421057,10.96292863384047,19.365566321522426,True
2026-05-03,94.0,31.10920098487368,80.28872340425531,-9.04855770029921,-80.28872340425531,49.17952241938163,61.25333712402147,True
2026-05-04,94.0,45.2550965394365,104.3745744680851,-34.34726694959276,-103.34202127659576,59.1194779286486,56.641646904846276,True
2026-05-05,95.0,36.93437731291118,115.52599999999997,-28.128684570312487,-115.08957894736841,78.59162268708879,68.02938099396569,True
2026-05-06,94.0,51.99774694564498,129.94819148936176,-49.89518346908246,-129.94819148936176,77.95044454371678,59.985786374024464,True
2026-05-07,95.0,33.88985510896381,125.23547368421053,-33.507197625411166,-125.23547368421053,91.34561857524673,72.9390929646505,True
2026-05-08,95.0,72.38662356085527,35.0462105263158,68.25415707236843,-19.880947368421047,-37.34041303453947,-106.54622132826881,False
2026-05-09,95.0,25.177731265419407,29.047263157894754,20.30928307462993,-19.739894736842093,3.8695318924753472,13.321502516231543,True
2026-05-10,95.0,29.59591953638981,27.568736842105274,28.68521353310033,-5.004736842105252,-2.0271826942845372,-7.353193967118779,False
2026-05-11,94.0,12.260446309840418,25.719148936170225,-8.796106943982702,-14.354468085106383,13.458702626329806,52.32950226981309,True
2026-05-12,94.0,21.955253958194803,80.44159574468085,0.26511848612033967,-66.7913829787234,58.48634178648605,72.70659071970663,True
2026-05-13,94.0,42.26056082218252,84.83255319148938,-41.993731533618686,-84.76489361702129,42.57199236930686,50.183556627384164,True
2026-05-14,94.0,42.57644705265128,82.61255319148935,-40.015735356757,-81.70425531914893,40.03610613883807,48.46249703242744,True
2026-05-15,94.0,50.80640754862038,115.13202127659574,-50.80640754862038,-115.13202127659574,64.32561372797537,55.871175555441766,True
2026-05-16,95.0,45.953020019531245,105.19189473684209,-42.77872247635691,-104.70599999999997,59.23887471731084,56.315056274543174,True
2026-05-17,94.0,19.459560261178517,86.00489361702128,5.202051690284236,-86.00489361702128,66.54533335584276,77.37389183011875,True
2026-05-18,94.0,18.16354486993019,43.03297872340428,2.474781052609705,-39.19510638297874,24.86943385347409,57.79156960833015,True
2026-05-19,95.0,18.91374773848683,60.32610526315787,-12.583683645148017,-60.10315789473683,41.41235752467104,68.64749074056706,True
2026-05-20,95.0,15.182898334703946,60.244736842105276,-2.2651227384868253,-58.31231578947369,45.06183850740133,74.79796720749793,True
2026-05-21,95.0,24.399204281455596,75.32589473684216,-21.32149745579772,-74.86315789473689,50.92669045538656,67.60847731487767,True
2026-05-22,94.0,28.38072148749168,83.93734042553191,-27.487661522398597,-83.93734042553191,55.55661893804023,66.18820498289354,True
2026-05-23,95.0,19.8930777138158,60.15568421052629,-19.843580078125,-59.80642105263155,40.26260649671049,66.93067666856521,True
2026-05-24,94.0,24.378787036652245,54.13180851063827,-13.078147907662883,-52.90010638297867,29.753021473986028,54.96402631391635,True
2026-05-25,94.0,30.43569535925034,54.372659574468095,-30.025822987657914,-52.27031914893617,23.936964215217756,44.02389804463031,True
2026-05-26,94.0,30.926328774310168,78.91595744680852,-29.533601879363356,-78.90404255319149,47.989628672498355,60.81105802314399,True
