split,policy,rows,start,end,mae_mw,total_reward,imbalance_cost_proxy_usd,dispatch_cost_proxy_usd,avg_dispatch_mw,avg_real_demand_mw,mae_improvement_mw,imbalance_cost_proxy_saving_usd,imbalance_cost_proxy_saving_pct
test,cndc_forecast_no_adjustment,1135,2026-05-14 23:00:00,2026-05-26 23:15:00,73.17548898678416,-95.99467777643187,326956.15232500003,4953095.57855,1110.7977973568281,1183.0892863436125,0.0,0.0,0.0
test,q_learning_discrete_reserve,1135,2026-05-14 23:00:00,2026-05-26 23:15:00,30.684546255506625,-57.967571344476234,137027.92844750007,5295225.2756550005,1187.5977392070486,1183.0892863436125,42.490942731277535,189928.22387749996,58.08981495742219
train,cndc_forecast_no_adjustment,2646,2026-04-17 00:00:00,2026-05-14 22:45:00,88.53713151927438,-229.64512790286187,972336.9330999999,13224730.412075,1210.5338019652306,1295.0709410430838,0.0,0.0,0.0
train,q_learning_discrete_reserve,2646,2026-04-17 00:00:00,2026-05-14 22:45:00,32.37325396825398,-119.49610462139582,349039.25632250006,14170915.970395,1296.5324168556313,1295.0709410430838,56.163877551020406,623297.6767774998,64.10305477035674
