split,policy,rows,mae_mw,reward_sum,avg_dispatch_mw,avg_real_demand_mw,mae_improvement_mw
train,cndc_forecast_no_adjustment,2646,88.53713151927438,-229.645127902862,1210.5338019652304,1295.0709410430838,0.0
train,q_learning_discrete_reserve,2646,32.373253968253984,-119.49610462139594,1296.5324168556313,1295.0709410430838,56.1638775510204
test,cndc_forecast_no_adjustment,1135,73.17548898678416,-95.99467777643191,1110.7977973568281,1183.0892863436122,0.0
test,q_learning_discrete_reserve,1135,30.684546255506625,-57.96757134447628,1187.5977392070486,1183.0892863436122,42.490942731277535
