title,description,value,timestamp,code
Termoelectrica (*),Diciembre-2025,2387.51,2026-06-07 12:48:19,1
Hidroelectrica,Diciembre-2025,715.81,2026-06-07 12:48:19,1
Solar,Diciembre-2025,167.58,2026-06-07 12:48:19,1
Biomasa,Diciembre-2025,125.0,2026-06-07 12:48:19,1
Eolica,Diciembre-2025,135.0,2026-06-07 12:48:19,1
TOTAL,_,3530.9,2026-06-07 12:48:19,1
