title,description,value,timestamp,code
ENDE TRANSMISIÓN,500,235.655,2026-06-07,3
ENDE TRANSMISIÓN,230,2807.69,2026-06-07,3
ENDE TRANSMISIÓN,115,1473.16,2026-06-07,3
ENDE TRANSMISIÓN,69,214.22,2026-06-07,3
ISABOL,230,587.0,2026-06-07,3
TESA,230,167.28,2026-06-07,3
ENDE,230,1050.37,2026-06-07,3
ENDE,115,491.05,2026-06-07,3
