timestamp,date,source_code,dataset,series_code,series,demand_mw
2026-06-06 17:00:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,495.07
2026-06-06 17:15:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,495.35
2026-06-06 17:30:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,494.94
2026-06-06 17:45:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,519.16
2026-06-06 18:00:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,540.31
2026-06-06 18:15:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,541.59
2026-06-06 18:30:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,541.58
2026-06-06 18:45:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,536.48
2026-06-06 19:00:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,536.05
2026-06-06 19:15:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,533.35
2026-06-06 19:30:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,530.3
2026-06-06 19:45:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,524.9
2026-06-06 20:00:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,518.49
2026-06-06 20:15:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,516.58
2026-06-06 20:30:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,514.44
2026-06-06 20:45:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,510.79
2026-06-06 21:00:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,504.58
2026-06-06 21:15:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,500.68
2026-06-06 21:30:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,495.56
2026-06-06 21:45:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,489.25
2026-06-06 22:00:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,481.51
2026-06-06 22:15:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,472.85
2026-06-06 22:30:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,466.05
2026-06-06 22:45:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,456.71
2026-06-06 23:00:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,449.48
2026-06-06 23:15:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,440.47
2026-06-06 23:30:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,
2026-06-06 23:45:00,2026-06-06,1,demand,SANTA CRUZ,santa_cruz,
2026-06-06 00:00:00,2026-06-06,1,demand,LA PAZ,la_paz,181.12
2026-06-06 00:15:00,2026-06-06,1,demand,LA PAZ,la_paz,173.19
2026-06-06 00:30:00,2026-06-06,1,demand,LA PAZ,la_paz,167.83
2026-06-06 00:45:00,2026-06-06,1,demand,LA PAZ,la_paz,162.38
2026-06-06 01:00:00,2026-06-06,1,demand,LA PAZ,la_paz,157.93
2026-06-06 01:15:00,2026-06-06,1,demand,LA PAZ,la_paz,154.86
2026-06-06 01:30:00,2026-06-06,1,demand,LA PAZ,la_paz,150.78
2026-06-06 01:45:00,2026-06-06,1,demand,LA PAZ,la_paz,149.13
2026-06-06 02:00:00,2026-06-06,1,demand,LA PAZ,la_paz,147.01
2026-06-06 02:15:00,2026-06-06,1,demand,LA PAZ,la_paz,144.93
2026-06-06 02:30:00,2026-06-06,1,demand,LA PAZ,la_paz,143.2
2026-06-06 02:45:00,2026-06-06,1,demand,LA PAZ,la_paz,142.08
2026-06-06 03:00:00,2026-06-06,1,demand,LA PAZ,la_paz,140.12
2026-06-06 03:15:00,2026-06-06,1,demand,LA PAZ,la_paz,138.61
2026-06-06 03:30:00,2026-06-06,1,demand,LA PAZ,la_paz,137.51
2026-06-06 03:45:00,2026-06-06,1,demand,LA PAZ,la_paz,137.64
2026-06-06 04:00:00,2026-06-06,1,demand,LA PAZ,la_paz,137.26
2026-06-06 04:15:00,2026-06-06,1,demand,LA PAZ,la_paz,137.83
2026-06-06 04:30:00,2026-06-06,1,demand,LA PAZ,la_paz,138.0
2026-06-06 04:45:00,2026-06-06,1,demand,LA PAZ,la_paz,139.82
2026-06-06 05:00:00,2026-06-06,1,demand,LA PAZ,la_paz,140.95
2026-06-06 05:15:00,2026-06-06,1,demand,LA PAZ,la_paz,141.55
2026-06-06 05:30:00,2026-06-06,1,demand,LA PAZ,la_paz,144.62
2026-06-06 05:45:00,2026-06-06,1,demand,LA PAZ,la_paz,147.54
2026-06-06 06:00:00,2026-06-06,1,demand,LA PAZ,la_paz,152.33
2026-06-06 06:15:00,2026-06-06,1,demand,LA PAZ,la_paz,163.55
2026-06-06 06:30:00,2026-06-06,1,demand,LA PAZ,la_paz,159.48
2026-06-06 06:45:00,2026-06-06,1,demand,LA PAZ,la_paz,154.22
2026-06-06 07:00:00,2026-06-06,1,demand,LA PAZ,la_paz,157.29
2026-06-06 07:15:00,2026-06-06,1,demand,LA PAZ,la_paz,164.06
2026-06-06 07:30:00,2026-06-06,1,demand,LA PAZ,la_paz,170.69
2026-06-06 07:45:00,2026-06-06,1,demand,LA PAZ,la_paz,178.11
2026-06-06 08:00:00,2026-06-06,1,demand,LA PAZ,la_paz,184.02
2026-06-06 08:15:00,2026-06-06,1,demand,LA PAZ,la_paz,192.43
2026-06-06 08:30:00,2026-06-06,1,demand,LA PAZ,la_paz,198.2
2026-06-06 08:45:00,2026-06-06,1,demand,LA PAZ,la_paz,202.7
2026-06-06 09:00:00,2026-06-06,1,demand,LA PAZ,la_paz,210.14
2026-06-06 09:15:00,2026-06-06,1,demand,LA PAZ,la_paz,214.78
2026-06-06 09:30:00,2026-06-06,1,demand,LA PAZ,la_paz,219.05
2026-06-06 09:45:00,2026-06-06,1,demand,LA PAZ,la_paz,221.54
2026-06-06 10:00:00,2026-06-06,1,demand,LA PAZ,la_paz,226.03
2026-06-06 10:15:00,2026-06-06,1,demand,LA PAZ,la_paz,228.27
2026-06-06 10:30:00,2026-06-06,1,demand,LA PAZ,la_paz,230.16
2026-06-06 10:45:00,2026-06-06,1,demand,LA PAZ,la_paz,231.68
2026-06-06 11:00:00,2026-06-06,1,demand,LA PAZ,la_paz,233.59
2026-06-06 11:15:00,2026-06-06,1,demand,LA PAZ,la_paz,235.88
2026-06-06 11:30:00,2026-06-06,1,demand,LA PAZ,la_paz,236.46
2026-06-06 11:45:00,2026-06-06,1,demand,LA PAZ,la_paz,235.79
2026-06-06 12:00:00,2026-06-06,1,demand,LA PAZ,la_paz,237.39
2026-06-06 12:15:00,2026-06-06,1,demand,LA PAZ,la_paz,237.1
2026-06-06 12:30:00,2026-06-06,1,demand,LA PAZ,la_paz,234.65
2026-06-06 12:45:00,2026-06-06,1,demand,LA PAZ,la_paz,232.83
2026-06-06 13:00:00,2026-06-06,1,demand,LA PAZ,la_paz,232.3
2026-06-06 13:15:00,2026-06-06,1,demand,LA PAZ,la_paz,232.33
2026-06-06 13:30:00,2026-06-06,1,demand,LA PAZ,la_paz,232.25
2026-06-06 13:45:00,2026-06-06,1,demand,LA PAZ,la_paz,231.99
2026-06-06 14:00:00,2026-06-06,1,demand,LA PAZ,la_paz,233.13
2026-06-06 14:15:00,2026-06-06,1,demand,LA PAZ,la_paz,234.46
2026-06-06 14:30:00,2026-06-06,1,demand,LA PAZ,la_paz,235.34
2026-06-06 14:45:00,2026-06-06,1,demand,LA PAZ,la_paz,232.08
2026-06-06 15:00:00,2026-06-06,1,demand,LA PAZ,la_paz,231.46
2026-06-06 15:15:00,2026-06-06,1,demand,LA PAZ,la_paz,233.5
2026-06-06 15:30:00,2026-06-06,1,demand,LA PAZ,la_paz,234.51
2026-06-06 15:45:00,2026-06-06,1,demand,LA PAZ,la_paz,234.47
2026-06-06 16:00:00,2026-06-06,1,demand,LA PAZ,la_paz,233.97
2026-06-06 16:15:00,2026-06-06,1,demand,LA PAZ,la_paz,230.01
2026-06-06 16:30:00,2026-06-06,1,demand,LA PAZ,la_paz,231.32
2026-06-06 16:45:00,2026-06-06,1,demand,LA PAZ,la_paz,235.16
2026-06-06 17:00:00,2026-06-06,1,demand,LA PAZ,la_paz,236.07
2026-06-06 17:15:00,2026-06-06,1,demand,LA PAZ,la_paz,239.47
2026-06-06 17:30:00,2026-06-06,1,demand,LA PAZ,la_paz,241.24
2026-06-06 17:45:00,2026-06-06,1,demand,LA PAZ,la_paz,248.14
2026-06-06 18:00:00,2026-06-06,1,demand,LA PAZ,la_paz,263.57
2026-06-06 18:15:00,2026-06-06,1,demand,LA PAZ,la_paz,290.87
2026-06-06 18:30:00,2026-06-06,1,demand,LA PAZ,la_paz,299.02
2026-06-06 18:45:00,2026-06-06,1,demand,LA PAZ,la_paz,302.57
2026-06-06 19:00:00,2026-06-06,1,demand,LA PAZ,la_paz,300.88
2026-06-06 19:15:00,2026-06-06,1,demand,LA PAZ,la_paz,300.06
2026-06-06 19:30:00,2026-06-06,1,demand,LA PAZ,la_paz,299.37
2026-06-06 19:45:00,2026-06-06,1,demand,LA PAZ,la_paz,298.26
2026-06-06 20:00:00,2026-06-06,1,demand,LA PAZ,la_paz,295.53
2026-06-06 20:15:00,2026-06-06,1,demand,LA PAZ,la_paz,290.92
