timestamp,date,source_code,dataset,series_code,series,value_mw
2026-06-06 21:15:00,2026-06-06,0,generation,PREV,prev,1429.2
2026-06-06 21:30:00,2026-06-06,0,generation,PREV,prev,1429.2
2026-06-06 21:45:00,2026-06-06,0,generation,PREV,prev,1339.88
2026-06-06 22:00:00,2026-06-06,0,generation,PREV,prev,1339.88
2026-06-06 22:15:00,2026-06-06,0,generation,PREV,prev,1339.88
2026-06-06 22:30:00,2026-06-06,0,generation,PREV,prev,1339.88
2026-06-06 22:45:00,2026-06-06,0,generation,PREV,prev,1221.97
2026-06-06 23:00:00,2026-06-06,0,generation,PREV,prev,1221.97
2026-06-06 23:15:00,2026-06-06,0,generation,PREV,prev,1221.97
2026-06-06 23:30:00,2026-06-06,0,generation,PREV,prev,1221.97
2026-06-06 23:45:00,2026-06-06,0,generation,PREV,prev,1118.23
2026-06-06 00:00:00,2026-06-06,0,generation,TOT,tot,1092.32
2026-06-06 00:15:00,2026-06-06,0,generation,TOT,tot,1070.81
2026-06-06 00:30:00,2026-06-06,0,generation,TOT,tot,1052.88
2026-06-06 00:45:00,2026-06-06,0,generation,TOT,tot,1029.13
2026-06-06 01:00:00,2026-06-06,0,generation,TOT,tot,1015.32
2026-06-06 01:15:00,2026-06-06,0,generation,TOT,tot,1003.32
2026-06-06 01:30:00,2026-06-06,0,generation,TOT,tot,992.12
2026-06-06 01:45:00,2026-06-06,0,generation,TOT,tot,980.48
2026-06-06 02:00:00,2026-06-06,0,generation,TOT,tot,970.95
2026-06-06 02:15:00,2026-06-06,0,generation,TOT,tot,963.19
2026-06-06 02:30:00,2026-06-06,0,generation,TOT,tot,954.44
2026-06-06 02:45:00,2026-06-06,0,generation,TOT,tot,950.18
2026-06-06 03:00:00,2026-06-06,0,generation,TOT,tot,943.38
2026-06-06 03:15:00,2026-06-06,0,generation,TOT,tot,936.55
2026-06-06 03:30:00,2026-06-06,0,generation,TOT,tot,932.1
2026-06-06 03:45:00,2026-06-06,0,generation,TOT,tot,926.87
2026-06-06 04:00:00,2026-06-06,0,generation,TOT,tot,924.49
2026-06-06 04:15:00,2026-06-06,0,generation,TOT,tot,927.71
2026-06-06 04:30:00,2026-06-06,0,generation,TOT,tot,924.42
2026-06-06 04:45:00,2026-06-06,0,generation,TOT,tot,929.8
2026-06-06 05:00:00,2026-06-06,0,generation,TOT,tot,942.06
2026-06-06 05:15:00,2026-06-06,0,generation,TOT,tot,949.58
2026-06-06 05:30:00,2026-06-06,0,generation,TOT,tot,955.29
2026-06-06 05:45:00,2026-06-06,0,generation,TOT,tot,964.49
2026-06-06 06:00:00,2026-06-06,0,generation,TOT,tot,978.33
2026-06-06 06:15:00,2026-06-06,0,generation,TOT,tot,994.5
2026-06-06 06:30:00,2026-06-06,0,generation,TOT,tot,960.57
2026-06-06 06:45:00,2026-06-06,0,generation,TOT,tot,945.73
2026-06-06 07:00:00,2026-06-06,0,generation,TOT,tot,959.66
2026-06-06 07:15:00,2026-06-06,0,generation,TOT,tot,979.32
2026-06-06 07:30:00,2026-06-06,0,generation,TOT,tot,996.26
2026-06-06 07:45:00,2026-06-06,0,generation,TOT,tot,1021.06
2026-06-06 08:00:00,2026-06-06,0,generation,TOT,tot,1059.96
2026-06-06 08:15:00,2026-06-06,0,generation,TOT,tot,1086.61
2026-06-06 08:30:00,2026-06-06,0,generation,TOT,tot,1117.13
2026-06-06 08:45:00,2026-06-06,0,generation,TOT,tot,1132.46
2026-06-06 09:00:00,2026-06-06,0,generation,TOT,tot,1163.69
2026-06-06 09:15:00,2026-06-06,0,generation,TOT,tot,1188.44
2026-06-06 09:30:00,2026-06-06,0,generation,TOT,tot,1201.8
2026-06-06 09:45:00,2026-06-06,0,generation,TOT,tot,1215.12
2026-06-06 10:00:00,2026-06-06,0,generation,TOT,tot,1230.08
2026-06-06 10:15:00,2026-06-06,0,generation,TOT,tot,1243.05
2026-06-06 10:30:00,2026-06-06,0,generation,TOT,tot,1250.21
2026-06-06 10:45:00,2026-06-06,0,generation,TOT,tot,1267.43
2026-06-06 11:00:00,2026-06-06,0,generation,TOT,tot,1274.81
2026-06-06 11:15:00,2026-06-06,0,generation,TOT,tot,1287.55
2026-06-06 11:30:00,2026-06-06,0,generation,TOT,tot,1287.76
2026-06-06 11:45:00,2026-06-06,0,generation,TOT,tot,1286.62
2026-06-06 12:00:00,2026-06-06,0,generation,TOT,tot,1283.76
2026-06-06 12:15:00,2026-06-06,0,generation,TOT,tot,1277.23
2026-06-06 12:30:00,2026-06-06,0,generation,TOT,tot,1272.09
2026-06-06 12:45:00,2026-06-06,0,generation,TOT,tot,1270.92
2026-06-06 13:00:00,2026-06-06,0,generation,TOT,tot,1272.72
2026-06-06 13:15:00,2026-06-06,0,generation,TOT,tot,1278.22
2026-06-06 13:30:00,2026-06-06,0,generation,TOT,tot,1288.47
2026-06-06 13:45:00,2026-06-06,0,generation,TOT,tot,1288.74
2026-06-06 14:00:00,2026-06-06,0,generation,TOT,tot,1290.09
2026-06-06 14:15:00,2026-06-06,0,generation,TOT,tot,1302.26
2026-06-06 14:30:00,2026-06-06,0,generation,TOT,tot,1303.6
2026-06-06 14:45:00,2026-06-06,0,generation,TOT,tot,1303.6
2026-06-06 15:00:00,2026-06-06,0,generation,TOT,tot,1307.7
2026-06-06 15:15:00,2026-06-06,0,generation,TOT,tot,1308.46
2026-06-06 15:30:00,2026-06-06,0,generation,TOT,tot,1309.55
2026-06-06 15:45:00,2026-06-06,0,generation,TOT,tot,1306.1
2026-06-06 16:00:00,2026-06-06,0,generation,TOT,tot,1305.15
2026-06-06 16:15:00,2026-06-06,0,generation,TOT,tot,1295.72
2026-06-06 16:30:00,2026-06-06,0,generation,TOT,tot,1295.79
2026-06-06 16:45:00,2026-06-06,0,generation,TOT,tot,1296.51
