timestamp,date,interval,plant_code,generation_type,value_mw
2026-06-06 00:00:00,2026-06-06,0,CH MIS,HID,11.0
2026-06-06 00:00:00,2026-06-06,0,CH MIG,HID,0.0
2026-06-06 00:00:00,2026-06-06,0,CH ANG,HID,2.88
2026-06-06 00:00:00,2026-06-06,0,CH CHO,HID,3.55
2026-06-06 00:00:00,2026-06-06,0,CH CRB,HID,3.71
2026-06-06 00:00:00,2026-06-06,0,CH KIL,HID,0.0
2026-06-06 00:00:00,2026-06-06,0,CH LAN,HID,0.0
2026-06-06 00:00:00,2026-06-06,0,CH PUN,HID,0.0
2026-06-06 00:00:00,2026-06-06,0,CH KAN,HID,0.0
2026-06-06 00:00:00,2026-06-06,0,CH SJA,HID,0.0
2026-06-06 00:00:00,2026-06-06,0,AGU01,BIO,0.0
2026-06-06 00:00:00,2026-06-06,0,AGU02,BIO,0.0
2026-06-06 00:00:00,2026-06-06,0,GBE01,BIO,5.74
2026-06-06 00:00:00,2026-06-06,0,IAG01,BIO,0.0
2026-06-06 00:00:00,2026-06-06,0,UNA01,BIO,0.0
2026-06-06 00:00:00,2026-06-06,0,CSF ORU,INT,-0.01
2026-06-06 00:00:00,2026-06-06,0,CSF UYU,INT,-0.19
2026-06-06 00:00:00,2026-06-06,0,CSF YUN,INT,0.0
2026-06-06 00:00:00,2026-06-06,0,CE EDO,INT,7.98
2026-06-06 00:00:00,2026-06-06,0,CE QOL,INT,0.15
2026-06-06 00:00:00,2026-06-06,0,CE SJU,INT,0.95
2026-06-06 00:00:00,2026-06-06,0,CE WAR,INT,1.18
2026-06-06 00:15:00,2026-06-06,1,ALT01,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ALT02,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ARJ01,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ARJ02,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ARJ03,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ARJ08,TER,0.04
2026-06-06 00:15:00,2026-06-06,1,ARJ09,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ARJ11,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ARJ12,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ARJ13,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ARJ14,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ARJ15,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,BUL01,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,BUL02,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,BUL03,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,CAR01,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,CAR02,TER,0.0
