timestamp,demand_mw,actual_dispatch_mw,optimized_dispatch_mw,actual_cost_proxy_usd,optimized_cost_proxy_usd,actual_renewable_mwh,optimized_renewable_mwh,actual_total_mwh,optimized_total_mwh,unserved_mw,actual_renewable_share,optimized_renewable_share,cost_proxy_saving_usd
2026-06-06 00:00:00,1076.5700000000002,1249.03,1108.8671000000002,14144.7575,8363.622625000004,79.3675,157.54600000000002,312.2575,277.21677500000004,0.0,0.25417323843302403,0.5683133713679485,5781.134874999996
2026-06-06 00:15:00,1058.81,1226.99,1090.5743,13824.497500000001,8098.721624999999,79.715,157.8135,306.7475,272.643575,0.0,0.25987171859591357,0.5788271372248549,5725.775875000002
2026-06-06 00:30:00,1040.96,1206.97,1072.1888000000001,13788.455,7830.421,72.9725,158.1235,301.7425,268.04720000000003,0.0,0.24183699677705325,0.589909165251493,5958.034
2026-06-06 00:45:00,1026.26,1189.16,1057.0478,13622.885,7623.857250000001,70.7075,158.091,297.29,264.26195,0.0,0.2378401560765582,0.5982359548924845,5999.027749999999
2026-06-06 01:00:00,1023.14,1166.64,1053.8342,13456.605,7561.67025,66.6725,158.45100000000002,291.66,263.45855,0.0,0.2285966536377974,0.6014266760368947,5894.934749999999
2026-06-06 01:15:00,1010.52,1153.3,1040.8356,13503.255,7374.6895,60.1925,158.616,288.325,260.2089,0.0,0.20876614931067375,0.6095717709886173,6128.565499999999
2026-06-06 01:30:00,994.8,1140.87,1024.644,13376.7125,7159.68,58.96,158.4635,285.2175,256.161,0.0,0.2067194334148501,0.6186089998087141,6217.032499999999
2026-06-06 01:45:00,983.17,1126.37,1012.6651,13250.605,7031.845125,57.365,157.72600000000003,281.5925,253.166275,0.0,0.20371636318438882,0.6230134720748252,6218.759875
2026-06-06 02:00:00,971.98,1114.01,1001.1394000000001,13129.4825,6876.491750000001,56.485,157.66350000000003,278.5025,250.28485000000003,0.0,0.20281685083616843,0.6299362506360253,6252.990749999999
2026-06-06 02:15:00,952.88,1100.91,981.4664,13043.9625,6655.112999999999,54.3275,156.681,275.2275,245.3666,0.0,0.1973912490575978,0.6385587932505892,6388.8495
2026-06-06 02:30:00,938.02,1089.3,966.1605999999998,12943.3075,6492.658249999997,53.589999999999996,155.72100000000003,272.325,241.54014999999995,0.0,0.19678692738455889,0.6447002703277284,6450.649250000004
2026-06-06 02:45:00,936.49,1080.21,964.5846999999998,12852.02,6471.489624999996,53.205,155.711,270.0525,241.14617499999994,0.0,0.1970172466464854,0.6457120872848182,6380.530375000005
2026-06-06 03:00:00,926.48,1055.21,954.2743999999998,12538.455,6333.597999999996,52.4525,155.63350000000003,263.8025,238.56859999999995,0.0,0.19883245988950066,0.6523637226357537,6204.857000000004
2026-06-06 03:15:00,927.18,1028.09,954.9953999999999,12206.5025,6348.011749999999,51.435,155.54350000000002,257.0225,238.74884999999998,0.0,0.20011866665369765,0.6514942375638669,5858.490750000002
2026-06-06 03:30:00,920.13,1023.18,947.7338999999998,12099.1675,6228.166124999998,52.4325,155.94350000000003,255.795,236.93347499999996,0.0,0.2049785961414414,0.6581741984749097,5871.001375000002
2026-06-06 03:45:00,905.18,1018.18,932.3353999999997,12025.17,6021.436749999995,52.385,155.8435,254.545,233.08384999999993,0.0,0.20579858178318175,0.6686156076450601,6003.733250000005
2026-06-06 04:00:00,899.24,1012.75,926.2171999999999,11940.1375,5939.686499999998,52.7425,155.79600000000002,253.1875,231.55429999999998,0.0,0.20831399654406318,0.6728270647532784,6000.451000000003
2026-06-06 04:15:00,910.4,1011.39,937.7119999999998,11757.62,6086.864999999995,57.1625,156.01350000000002,252.8475,234.42799999999994,0.0,0.22607500568524508,0.6655071066596143,5670.755000000006
2026-06-06 04:30:00,903.46,1012.08,930.5637999999998,11989.4975,6020.077249999998,51.1875,155.38350000000003,253.02,232.64094999999995,0.0,0.20230614180697176,0.6679112168343538,5969.420250000002
